site_name,site_id,latitude,longitude,entity_id,entity_name,sample_id,depth_sample,interp_age,d13C_measurement
Villars cave,4,45.43,0.78,29,Vil-stm11,298139,175,8085,-8.887111456
Villars cave,4,45.43,0.78,29,Vil-stm11,298140,180,7768,-9.4000069
Villars cave,4,45.43,0.78,29,Vil-stm11,298141,185,7452,-9.602010276
Villars cave,4,45.43,0.78,29,Vil-stm11,298142,190,7135,-9.098045321
Villars cave,4,45.43,0.78,32,Vil-car1,298512,26,7132,-9.305
Villars cave,4,45.43,0.78,32,Vil-car1,298513,27.5,7546,-9.214091308
Villars cave,4,45.43,0.78,32,Vil-car1,298514,29,7960,-8.742368373
Villars cave,4,45.43,0.78,32,Vil-car1,298515,30.5,8375,-8.6102288
Villars cave,4,45.43,0.78,32,Vil-car1,298516,31.5,8651,-9.3846439
Villars cave,4,45.43,0.78,32,Vil-car1,298517,32,8789,-9.286458988
Villars cave,4,45.43,0.78,32,Vil-car1,298518,33,9065,-9.12
Villars cave,4,45.43,0.78,32,Vil-car1,298519,33.5,9203,-9.289476009
Villars cave,4,45.43,0.78,32,Vil-car1,298520,34,9341,-9.3679761
Villars cave,4,45.43,0.78,32,Vil-car1,298521,34.5,9480,-8.860297071
Villars cave,4,45.43,0.78,32,Vil-car1,298522,35.5,9756,-8.9878153
Villars cave,4,45.43,0.78,32,Vil-car1,298523,36.5,10032,-8.579855334
Villars cave,4,45.43,0.78,32,Vil-car1,298524,37,10517,-8.63
Villars cave,4,45.43,0.78,32,Vil-car1,298525,38,11486,-8.270218562
Villars cave,4,45.43,0.78,32,Vil-car1,298526,38.5,11971,-6.508172499
Villars cave,4,45.43,0.78,32,Vil-car1,298527,39,12455,-7.5949525
Villars cave,4,45.43,0.78,32,Vil-car1,298528,39.5,12940,-7.238824686
Villars cave,4,45.43,0.78,32,Vil-car1,298529,40.5,13910,-3.5034521
Villars cave,4,45.43,0.78,32,Vil-car1,298530,41,14394,-5.614113143
Villars cave,4,45.43,0.78,32,Vil-car1,298531,42,15364,-4.79
Villars cave,4,45.43,0.78,32,Vil-car1,298532,43,16333,-3.952993518
Villars cave,4,45.43,0.78,32,Vil-car1,298533,44,17302,-2.8983109
Villars cave,4,45.43,0.78,32,Vil-car1,298534,44.5,17787,-7.99095026
Villars cave,4,45.43,0.78,32,Vil-car1,298535,45.5,18757,-8.205
Villars cave,4,45.43,0.78,32,Vil-car1,298536,46,19241,-7.719645018
Villars cave,4,45.43,0.78,32,Vil-car1,298537,46.5,19726,-8.1006776
Chauvet cave,77,44.23,4.26,166,Chau-stm6,294996,136.51,15494,-5.14
Chauvet cave,77,44.23,4.26,166,Chau-stm6,294997,138,15447,-5.14
Chauvet cave,77,44.23,4.26,166,Chau-stm6,294998,139.5,15400,-5.63
Chauvet cave,77,44.23,4.26,166,Chau-stm6,294999,140,15385,-6.12
Chauvet cave,77,44.23,4.26,166,Chau-stm6,295000,143.3,15282,-7.13
Chauvet cave,77,44.23,4.26,166,Chau-stm6,295001,146.6,15179,-6.63
Chauvet cave,77,44.23,4.26,166,Chau-stm6,295002,150,15072,-7.16
Chauvet cave,77,44.23,4.26,166,Chau-stm6,295003,152.5,14994,-7.1
Chauvet cave,77,44.23,4.26,166,Chau-stm6,295004,160,14913,-7.05
Chauvet cave,77,44.23,4.26,166,Chau-stm6,295005,166.6,14842,-6.97
Chauvet cave,77,44.23,4.26,166,Chau-stm6,295006,169.5,14810,-7.08
Chauvet cave,77,44.23,4.26,166,Chau-stm6,295007,170,14807,-7.19
Chauvet cave,77,44.23,4.26,166,Chau-stm6,295008,173.3,14788,-7.04
Chauvet cave,77,44.23,4.26,166,Chau-stm6,295009,176.6,14768,-6.92
Chauvet cave,77,44.23,4.26,166,Chau-stm6,295010,180,14748,-6.77
Chauvet cave,77,44.23,4.26,166,Chau-stm6,295011,183.3,14729,-6.94
Chauvet cave,77,44.23,4.26,166,Chau-stm6,295012,186.6,14710,-7.3
Chauvet cave,77,44.23,4.26,166,Chau-stm6,295013,190,14690,-7.34
Chauvet cave,77,44.23,4.26,166,Chau-stm6,295014,193.3,14671,-6.98
Chauvet cave,77,44.23,4.26,166,Chau-stm6,295015,196.6,14651,-7.28
Chauvet cave,77,44.23,4.26,166,Chau-stm6,295016,200,14631,-7.32
Chauvet cave,77,44.23,4.26,166,Chau-stm6,295017,203.3,14612,-7.21
Chauvet cave,77,44.23,4.26,166,Chau-stm6,295018,206.6,14593,-7.39
Chauvet cave,77,44.23,4.26,166,Chau-stm6,295019,210,14573,-6.89
Chauvet cave,77,44.23,4.26,166,Chau-stm6,295020,213.3,14554,-7.04
