"","ts","DCP","d13C","d44Ca","MgCa","soil.pCO2","cave.pCO2","gas.volume","soil.R14C"
"1",7926,7.49294933381897,-9.45298004754969,-0.286085312318551,1.77427608100611,3280,1500,450,100
"2",8558,6.1585843719722,-10.6091147309324,-0.400766955134246,1.62166789738803,6780,4000,350,100
"3",12496,7.01031582495071,-5.47958465624454,-0.492931538150082,1.28044846030161,780,500,462.5,100
"4",12873,7.2007214040149,-7.04753607322273,-0.15325523175802,1.67569675934569,2780,1000,450,100
"5",13461,9.56655956411033,-6.72919842840353,-0.145107614088369,1.68665360740231,1592.5,500,412.5,100
"6",15390,7.63360485839613,-1.69399380731239,-0.0227057415025378,1.8568303595451,780,180,500,100
"7",24990,7.65924210326707,-5.48357698835444,-0.493096588646713,1.28028327621697,780,500,450,100
