"","ts","DCP","d13C","d44Ca","MgCa","soil.pCO2","cave.pCO2","gas.volume","soil.R14C"
"1",7926,6.84246047970258,-8.28926521380879,-0.346148878772046,1.69062439921821,1030,500,450,100
"2",8558,5.86145974282392,-9.49084329355698,-0.347149399102853,1.68928805010159,1530,1000,400,100
"3",12873,6.5498487242874,-8.52773693395859,-0.355466795491699,1.42746563939715,1030,500,450,100
"4",15390,7.65431022845234,-3.02735278634192,-0.204194150489556,1.609223672225,530,180,500,100
