"","ts","DCP","d13C","d44Ca","MgCa","soil.pCO2","cave.pCO2","gas.volume","soil.R14C"
"1",7926,5.49689730047755,-10.3031085925654,-0.42509171506544,1.58906498896306,1780,1000,200,95
"2",8558,4.63559364484131,-11.4410406593402,-0.563868546519464,1.42412388192788,2280,2000,150,100
"3",12496,5.96396850793306,-5.50975258720648,-0.494184301325945,1.2791957595921,780,500,387.5,100
"4",12873,4.1638395668778,-8.60993647374642,-0.319472521688069,1.46920249181608,1530,500,300,100
"5",13461,6.58459738819153,-7.18357248172397,-0.29587920084298,1.49699096989989,1217.5,500,287.5,95
"6",15390,6.10454219840127,-3.69028621320833,-0.204195589551537,1.6092217648309,530,180,400,100
"7",24990,6.10454219840127,-5.52849391058952,-0.494976620035503,1.27840415723898,780,500,350,100
