"","ts","DCP","d13C","d44Ca","MgCa","soil.pCO2","cave.pCO2","gas.volume","soil.R14C"
"1",7926,5.25959100546334,-9.50452335244578,-0.493113909551535,1.50578192404556,780,500,300,100
"2",8558,4.70011367633514,-11.7336734620878,-0.583414061406939,1.40199973627714,1030,500,300,100
"3",12873,5.20289947282219,-8.53589727412607,-0.35791927793527,1.42470124891729,1030,500,350,100
"4",15390,6.96368177161346,-3.06070306204476,-0.206056376892749,1.6068698760517,530,180,450,100
