"","ts","DCP","d13C","d44Ca","MgCa","soil.pCO2","cave.pCO2","gas.volume","soil.R14C"
"1",7926,6.38939485856326,-8.5631246332272,-0.483101832609328,1.51947082578613,4780,2500,250,95
"2",8558,5.61060807344257,-9.17292294973304,-0.602215770693471,1.38153739547194,6780,6000,137.5,95
"3",12496,4.14359246517659,-6.03364109168991,-0.426622830586365,1.34896908986567,1530,500,250,100
"4",12873,4.62907220399162,-7.28275010074148,-0.411795485179778,1.36669345968483,3780,2000,200,95
"5",13461,6.73173831091783,-7.02309399156176,-0.36443223326843,1.41780513356888,3280,1500,200,95
"6",15390,5.94172934760122,-1.82000289284756,-0.0256697593582489,1.85248832915161,780,180,387.5,100
"7",24990,6.57686466192877,-5.76460633585407,-0.494977383005857,1.27840332097496,780,500,250,100
