"","ts","DCP","d13C","d44Ca","MgCa","soil.pCO2","cave.pCO2","gas.volume","soil.R14C"
"1",7926,7.07572251181975,-10.2328305027404,-0.355402660552895,1.68130159970953,2280,1500,300,100
"2",8558,5.4466463788071,-11.1653166873255,-0.468456719246391,1.53710334719609,3780,3000,200,100
"3",12496,6.4492746319566,-5.49354123388329,-0.493508391868069,1.27987145163006,780,500,425,100
"4",12873,5.46889773843477,-8.52989091589967,-0.239579108997579,1.56473789581782,2280,1000,350,100
"5",13461,8.68019302609761,-6.99047830539223,-0.213130670112804,1.59828076290319,1405,500,350,100
"6",15390,6.86935150635439,-3.62942518801085,-0.0263867142898944,1.85143991252407,780,180,450,100
"7",24990,6.79400706551192,-5.50350547941214,-0.493920195089426,1.27945962704314,780,500,400,100
