"","ts","DCP","d13C","d44Ca","MgCa","soil.pCO2","cave.pCO2","gas.volume","soil.R14C"
"1",7926,6.72849545184626,-8.32090739967828,-0.402192255463674,1.6215855788058,5780,3500,350,95
"2",8558,6.16971767452973,-9.14624224109528,-0.601473660532537,1.38238005480377,6780,6000,300,97.5
"3",12496,5.49426458554434,-5.81987806341416,-0.204967293699732,1.60987942010744,2280,1000,350,100
"4",12873,6.69784950612739,-6.88858301855216,-0.308592950577502,1.48347103471391,5780,2500,300,95
"5",13461,7.4642241521812,-6.59299289740228,-0.276231116478676,1.52031152424881,5780,2000,300,95
"6",15390,6.42534801912023,-1.78823056789629,-0.0238291781585742,1.8551836877522,780,180,425,100
"7",24990,6.76888664773907,-4.27170912279029,-0.493097010826449,1.28028278676623,1030,500,300,100
