"","ts","DCP","d13C","d44Ca","MgCa","soil.pCO2","cave.pCO2","gas.volume","soil.R14C"
"1",7926,6.61938979426349,-6.84094753083775,-0.454857553615018,1.5550999296772,6405,4500,462.5,95
"2",8558,5.29249379610002,-7.25845075974807,-0.583413743974415,1.40200003552822,5280,4500,412.5,100
"3",12496,6.5370737049023,-4.96327808116448,-0.21073265734603,1.60308984338008,7155,3625,500,98.75
"4",12873,12.2515166178551,-5.4414199935591,-0.319470859769966,1.46969381777469,5280,4000,150,100
"5",13461,11.8924560397028,-5.35710123493077,-0.287116774750795,1.50945138285557,5155,2000,325,100
"6",15390,6.41341828875923,-2.77202198588086,0.384404462619115,2.56357988159484,7780,3000,450,100
"7",24990,6.91306005727028,-4.59385111575472,-0.124799408251275,1.71902926663469,4780,4000,450,95
