"","ts","DCP","d13C","d44Ca","MgCa","soil.pCO2","cave.pCO2","gas.volume","soil.R14C"
"1",7926,6.4930312314684,-7.37000585231207,-0.610402306369884,1.37232326984177,5280,4375,437.5,95
"2",8558,4.58264593577405,-7.36734763471003,-0.61069919654716,1.37199217025715,1280,1000,337.5,98.75
"3",12496,6.08193822144745,-5.35851797535281,-0.329676386741889,1.46028131902307,3280,1250,275,95
"4",12873,5.35341847456311,-6.47479281546159,-0.592261735881533,1.18093362977889,4030,2125,75,100
"5",13461,7.68934581985719,-6.07702443801164,-0.48535291279686,1.28819928029821,905,500,62.5,100
"6",15390,6.39229821004317,-4.84481726307451,-0.192200839675749,1.63188504495616,2530,260,250,95
"7",24990,6.91306005727028,-6.13308543878333,-0.53131184008659,1.24038618572697,4780,2000,450,95
