"","soil.pCO2","soil.d13C","soil.R14C","cave.pCO2","gas.volume","d13C","d44Ca","MgCa","DCP","ts"
"1",1280,-19.8,100,500,250,-7.86939601722048,-0.268179864129636,1.79795739404038,7.07572251181975,7926
"2",1280,-19.8,100,500,300,-7.88407264174573,-0.265726888032614,1.80145743431054,5.99721765377171,7926
"3",1530,-20.41,100,1000,200,-9.24393541329327,-0.507568198217179,1.48863897045905,7.79278844126656,7926
"4",1530,-20.41,100,1000,250,-9.27647040282786,-0.506006793085656,1.49048310824142,6.3767016661917,7926
"5",1530,-20.41,100,1000,300,-9.29920810352192,-0.504961970181017,1.49171879994298,5.39639545713665,7926
"6",1530,-20.41,100,1000,350,-9.20477993063917,-0.471859821370213,1.53127664986391,4.67759107197834,7926
"7",1780,-20.85,100,1000,200,-9.39551542708927,-0.42509171506544,1.58906498896306,7.14059004647932,7926
"8",1780,-20.85,100,1000,250,-9.4292599432928,-0.423137599540269,1.59154122439714,5.83261002943849,7926
"9",1780,-20.85,100,1000,300,-9.45298004754969,-0.421830790723332,1.59319978012116,4.92991926475618,7926
"10",1780,-20.85,95,1000,500,-9.50274495007664,-0.419208558937734,1.5965340603881,7.8943628810602,7926
"11",2280,-21.43,100,1000,200,-9.51600791383811,-0.288411070320183,1.77097432626968,6.17941507114413,7926
"12",2280,-21.43,100,1500,200,-10.2540745526495,-0.505462671471446,1.49137270450216,6.17941507114413,7926
"13",2280,-21.43,100,1000,250,-9.55021263362377,-0.286085312318551,1.77427608100611,5.03445103630895,7926
"14",2280,-21.43,100,1500,250,-10.2920665155473,-0.504294297892005,1.49276718656488,5.03445103630895,7926
"15",2280,-21.43,95,1000,450,-9.6147209191525,-0.281935586167514,1.78018448116522,7.74859098728168,7926
"16",2280,-21.43,95,1500,450,-10.2237426288809,-0.461392519282677,1.54444905214175,7.74859098728168,7926
"17",2280,-21.43,95,1000,500,-9.623124036512,-0.281415525450801,1.78092650915836,7.48480216391166,7926
"18",2280,-21.43,95,1500,500,-10.2328305027404,-0.461078922865843,1.54483715443483,7.48480216391166,7926
"19",2780,-21.81,100,1500,150,-10.2261733357779,-0.402637528148175,1.6183910743644,7.1368442262235,7926
"20",2780,-21.81,100,1500,200,-10.2835351379427,-0.400122895513166,1.62166789738803,5.49689730047755,7926
"21",2780,-21.81,95,1500,400,-10.3766856338471,-0.396328993165218,1.62662694162388,7.72303927635427,7926
"22",2780,-21.81,95,1500,450,-10.3876702848887,-0.395905859630785,1.62718115901608,7.43254672029993,7926
"23",2780,-21.81,95,1500,500,-10.396188604768,-0.395567034835342,1.62762511465779,7.19821649589324,7926
"24",3280,-22.07,100,1500,150,-10.2795295692157,-0.336359380015305,1.70627402013019,6.48145806217448,7926
"25",3280,-22.07,100,1500,200,-10.1968636700907,-0.292826826473469,1.76626501106841,4.98085120089878,7926
"26",3280,-22.07,95,1500,350,-10.2713459509581,-0.289057442419693,1.77164865111247,7.79385676105143,7926
"27",3280,-22.07,95,1500,400,-10.2846800926935,-0.2884274328252,1.77255030726981,7.45869238736094,7926
"28",3280,-22.07,95,1500,450,-10.2947254896065,-0.287937056227761,1.77325248890296,7.19550848987467,7926
"29",3280,-22.07,95,1500,500,-10.3031085925654,-0.287544657887606,1.77381460503336,6.98336664594783,7926
"30",3780,-22.26,100,1500,150,-10.2589617007746,-0.269689053487232,1.79961128030787,5.96440991804879,7926
"31",3780,-22.26,100,2000,200,-10.6091147309324,-0.355402660552895,1.68130159970953,4.57560209777538,7926
"32",3780,-22.26,95,2000,300,-10.6660695788559,-0.353133895521052,1.68439660779645,7.96665344663198,7926
"33",4780,-22.53,100,2000,100,-10.4689169732024,-0.275975034441323,1.79186745638275,7.49294933381897,7926
"34",4780,-22.53,100,2000,150,-10.5617624518294,-0.271389840800662,1.79856945753469,5.191505469624,7926
"35",4780,-22.53,95,2000,300,-10.6636605236402,-0.266772400136839,1.80534815768454,7.56892114324996,7926
"36",1280,-19.8,100,1000,350,-8.9934902181541,-0.58379231947292,1.40158335984149,5.20419586047207,8558
"37",1280,-19.8,100,1000,400,-9.00502728326369,-0.583413707854974,1.40200009628612,4.59658334112292,8558
"38",1530,-20.41,100,1000,250,-9.27647040282786,-0.506006793085656,1.49048310824142,6.3767016661917,8558
"39",1530,-20.41,100,1000,300,-9.29920810352192,-0.504961970181017,1.49171879994298,5.39639545713665,8558
"40",1530,-20.41,100,1000,350,-9.20477993063917,-0.471859821370213,1.53127664986391,4.67759107197834,8558
"41",1780,-20.85,100,1000,250,-9.4292599432928,-0.423137599540269,1.59154122439714,5.83261002943849,8558
"42",1780,-20.85,100,1500,250,-10.0482292774702,-0.603369349035265,1.37990626110001,5.83261002943849,8558
"43",1780,-20.85,100,1000,300,-9.45298004754969,-0.421830790723332,1.59319978012116,4.92991926475618,8558
"44",1780,-20.85,100,1500,300,-10.0746346133005,-0.602913591248644,1.3804019260279,4.92991926475618,8558
"45",1780,-20.85,100,1000,350,-9.47034203889907,-0.420895709744795,1.59438781890478,4.26945508693382,8558
"46",1780,-20.85,100,1500,350,-10.0940515036917,-0.602587283935807,1.38075702046484,4.26945508693382,8558
