"","ts","DCP","d13C","d44Ca","MgCa","soil.pCO2","cave.pCO2","gas.volume","soil.R14C"
"1",7926,7.25429841796062,-8.12854751562667,-0.351542789305159,1.68657121110364,6780,4000,450,95
"2",8558,6.28877426216293,-9.11117525701155,-0.600919082572787,1.38301009752465,6780,6000,462.5,100
"3",12496,6.76888664773907,-4.72433237373771,-0.124369633734522,1.71903297640286,3780,1500,450,100
"4",12873,7.28483657397948,-6.49883892247044,-0.201817798267084,1.61415397072452,6780,3500,400,100
"5",13461,8.40512377254106,-6.22597988094931,-0.180316844596629,1.64014698577528,6780,3000,400,95
"6",15390,6.9844594151267,-1.74795859825994,-0.0188898677812299,1.86245553546545,780,180,462.5,100
"7",24990,7.46136045434135,-3.6666194378665,-0.359756991976767,1.42263363551129,1280,1000,350,100
