"","soil.pCO2","soil.d13C","soil.R14C","cave.pCO2","gas.volume","d13C","d44Ca","MgCa","DCP","ts"
"76",5780,-19.74,95,4000,250,-8.5858059377073,-0.466269077700976,1.5405618357671,7.70577295504061,7926
"77",5780,-19.74,95,4500,250,-8.81744682983654,-0.534431160074789,1.45868112632496,7.70577295504061,7926
"78",5780,-19.74,95,2500,300,-7.98563409091435,-0.285412556389364,1.77999742965301,7.27230172051121,7926
"79",5780,-19.74,95,3000,300,-8.17518124363459,-0.341908588118223,1.70157631861691,7.27230172051121,7926
"80",5780,-19.74,95,3500,300,-8.37731783988582,-0.401907973604843,1.62196398086061,7.27230172051121,7926
"81",5780,-19.74,95,4000,300,-8.59339097728828,-0.465817976011751,1.54113265392704,7.27230172051121,7926
"82",5780,-19.74,95,4500,300,-8.82549680103695,-0.53411126678804,1.45906415195939,7.27230172051121,7926
"83",5780,-19.74,95,2500,350,-7.99030605371731,-0.284862158771437,1.78080053910348,6.9588356711186,7926
"84",5780,-19.74,95,3000,350,-8.1801720835214,-0.341426577136761,1.70224923698067,6.9588356711186,7926
"85",5780,-19.74,95,3500,350,-8.38265267459415,-0.401501534542659,1.62250526050509,6.9588356711186,7926
"86",5780,-19.74,95,4000,350,-8.59909810812709,-0.465495554025419,1.54154082062877,6.9588356711186,7926
"87",5780,-19.74,95,4500,350,-8.83132403840214,-0.53388282340372,1.45933777621543,6.9588356711186,7926
"88",5780,-19.74,95,2500,400,-7.99362110536883,-0.284449323423419,1.78140319860813,6.72160138410629,7926
"89",5780,-19.74,95,3000,400,-8.1835650350448,-0.341065067835933,1.70275413272122,6.72160138410629,7926
"90",5780,-19.74,95,3500,400,-8.38613355837525,-0.401196797835013,1.62291124139787,6.72160138410629,7926
"91",5780,-19.74,95,4000,400,-8.60267828382677,-0.465253968015555,1.54184674501775,6.72160138410629,7926
"92",5780,-19.74,95,4500,400,-8.8353007848665,-0.533711549461358,1.45954297213366,6.72160138410629,7926
