"","ts","DCP","d13C","d44Ca","MgCa","soil.pCO2","cave.pCO2","gas.volume","soil.R14C"
"1",7926,6.58642370914601,-7.10864846398751,-0.533555785697637,1.46252248474467,5780,4500,450,95
"2",8558,4.71642053290979,-7.31245616096204,-0.596908025172149,1.38716165268499,3280,2750,400,100
"3",12496,6.27585599738003,-5.14483351990841,-0.272515862610567,1.52868174469711,5030,2250,500,95
"4",12873,5.43643534375616,-5.99263127462268,-0.442688751450371,1.3381329574718,5030,2500,150,100
"5",13461,7.95741487192201,-5.74795472988948,-0.373228181201057,1.41176095786231,3030,1250,175,100
"6",15390,6.4028582494012,-3.82151702168027,0.0961018114716827,2.0977324632755,6280,1750,350,97.5
"7",24990,6.91306005727028,-6.12888606873441,-0.53117574810424,1.24052190736112,4780,3500,450,95
